"Tên chính","Tên khác","Tên khoa học","Họ","Mô tả","Bộ phận dùng","Nơi sống và thu hái","Thành phần hoá học","Tính vị, tác dụng","Công dụng, chỉ định và phối hợp","Liều dùng","Đơn thuốc"
"Móng bò Lakhon","","Bauhinia lakhonensis Gagnep.","Ðậu - Fabaceae","Cây nhỡ đứng hay leo, nhánh gần như xếp từng đôi, có lông sét. Lá có phiến tròn hình thận, có lông như nhung hoe mặt dưới; lá kèm hình phẳng mau rụng. Ngù hoa hoe; hoa trắng, đế hoa dài 1,5-2,2cm; cánh hoa không lông, dài 8mm; nhị sinh sản 3, nhị lép 5-7; bầu không lông. Quả mỏng, mảnh, dài 10-12mm.","Rễ - Radix Bauhiniae Lakhonensis.","Loài đặc hữu của Lào và các vùng phụ cận ở rừng Bắc Thái Lan và của Bắc Việt Nam. Cây mọc ven rừng, dọc các đường đi ở Quảng Trị (Lao Bảo).","","","ở Lào, rễ dùng sắc nước cho phụ nữ sau khi sinh nở uống.","",""
"Móng bò lông đỏ","","Bauhinia rubro villosa K. et S. S Larsen","Ðậu - Fabaceae","Dây leo to; nhánh có cạnh có lông phún đo đỏ; mau cong. Phiến lá tròn, chẻ đến 1/3-1/2, to đến 30cm, mặt dưới có lông nhung; gân từ gốc 11-12. Ngù hoa có lông đo đỏ; cuống 4-5cm, nụ dài 1-5cm, đài 2-3 thùy dài 13mm, cánh hoa trắng dài 25mm, mặt ngoài có lông đo đỏ; nhị sinh sản 3, nhị lép 2, nhỏ; bầu 25mm, có lông đo đỏ. Quả dẹp to đến 40x7cm có lông đo đỏ; hạt tròn, to 20-25mm.","Thân cây - Caulis Bauhiniae Rubro-villosae.","Loài chỉ biết có ở Lào và vùng phụ cận của Bắc Việt Nam, như ở Lai Châu trên độ cao 900m. Cũng có trồng ở Hà Nội.","","","ở Lai Châu, thân cây được dùng sắc nước uống trị đau bụng.","",""
"Móng bò lông phún","","Bauhinia hirsuta Weinm.","Ðậu - Fabaceae","cây nhỡ 3m, nhánh non có lông nâu nâu. Phiến lá tròn tròn, chẻ sâu 1/4-1/3, gốc hình tim, gân 7-9; mặt trên không lông, mặt dưới có lông nâu nâu; lá kèm hình kim dài 1mm. Chùm ngắn ở nách lá; nụ hình bắp; đài hình tàu; cánh hoa trắng, dài 3-4cm; nhị sinh sản 10; bầu có cuống, gần như không lông. Quả 6-8cm, đầu cong; hạt 5-10, to 8mm, dẹp. Ra hoa quanh năm.","Lá - Folium Bauhiniae Hirsutae.","Loài phân bố ở Java, bán đảo Malaixia, ở Thái Lan, Lào, Campuchia, Việt Nam và Nam Trung Quốc (Vân Nam). Thường gặp trong các rừng rụng lá ở vĩ độ thấp, từ Hà Bắc qua Thừa Thiên-Huế, Bình Thuận tới Kontum, Gia Lai, Ðắc Lắc, Sông Bé.","","","ở Campuchia, người ta dùng vỏ để làm trắng lụa tơ tằm, lá được dùng để trị bệnh ghẻ.","",""
"Móng bò lửa","","Bauhinia pyrrhoclada Drake del Cast.","Ðậu - Fabaceae","Dây leo to; móc cong; nhánh non có lông dày màu sét. Phiến lá có lông dày sét ở mặt dưới, gân từ gốc 11-13; lá kèm hình phẳng mau rụng. Chùm hoa dày ở ngọn hay nách lá, có lông dày sét; cuống 1cm, đế 3mm; lá đài 2-5; cánh hoa trắng, cao 2cm, có lông ở mặt ngoài; nhị sinh sản 3, nhị lép 2; bầu tròn, cuống ngắn. Quả dẹp, mảnh, cứng dài 12-13cm, rộng 3,5-4cm, hạt 3-4, tròn dẹp, to 17-20mm.","Lá và dây - Folium et Caulis Bauhiniae Pyrrhocladae.","Loài khu trú ở Nam Trung Quốc và Bắc Việt Nam. Cây mọc leo lên các bờ bụi ven rừng, ven suối, có gặp ở rừng Than mọi tỉnh Lạng Sơn.","","","Dân gian dùng lá làm thuốc chữa hậu sản và toàn cây nấu nước xông và tắm chữa bệnh phù.","",""
"Móng bò sọc","Ban","Bauhinia variegata L.","Ðậu - Fabaceae","Cây gỗ lớn cao 6-15m, nhánh non có lông mịn. Lá rụng theo mùa, phiến xanh nhạt, mặt trên không lông, mặt dưới có ít lông. Chùm hoa dài đến 20-30cm, hơi thõng; hoa to; đài có 5 răng, có lông; cánh hoa trắng hay đỏ hơi tím có sọc đậm, dài 5cm; nhị sinh sản 3-4, nhị lép cao 1cm. Quả dẹp, dài 15-30cm, rộng 2,5cm; hạt 9-10, to 10-15mm. Ra hoa quanh năm.","Rễ, vỏ thân, lá và hoa – Radix, Cortex, Folium et Flos Bauhiniae Variegatae.","Loài phân bố ở Mianma, Tây Bắc Thái Lan, Nam Trung Quốc, ở Lào và Việt Nam. Cũng được trồng nhiều ở các xứ nhiệt đới. Thường gặp trong các rừng rụng lá từ độ cao 500m tới 1500m, từ Sơn La, Lai Châu đến Nghệ An. Có trồng ở các thành phố Hà Nội, Hồ Chí Minh.","Cây chứa gôm, vỏ chứa tanin, hạt chứa dầu béo 16%.","Rễ có vị hơi chát, hơi mát; có tác dụng chỉ huyết, kiện tỳ. Vỏ thân đắng, chát, tính bình; có tác dụng kiện tỳ táo thấp. Lá nhạt, tính bình; có tác dụng nhuận phế chỉ khái, hoàn tả. Hoa có vị nhạt, tính mát; có tác dụng tiêu thũng. Ở Ấn Ðộ, vỏ được xem như có tác dụng gây biến đổi, bổ và thu liễm; hạt có tác dụng làm đông máu.","Hoa ăn được. Ở Ấn Ðộ, vỏ dùng làm thuốc hàn vết thương, chữa bệnh ngoài da, loét và tràng nhạc; chồi khô dùng trị lỵ và trĩ, ỉa chảy và trị giun; nước sắc rễ trị đầy hơi trướng bụng và rễ trị nọc rắn cắn. Ở Trung Quốc, rễ dùng trị lạc huyết, ăn uống không bình thường. Vỏ rễ trị ăn uống không bình thường, viêm dạ dày ruột cấp tính. Lá trị ho, đái khó (tiện bí).","",""
"Móng bò trắng","","Bauhinia acuminata L.","Ðậu - Fabaceae","cây nhỡ mọc đứng. Lá hơi hình tim ở gốc, hình mắt chim, dài 12cm, rộng 11cm, chia 2 thùy, mỗi thùy rộng 6cm hình tam giác nhọn, bóng ở mặt trên, nhạt màu và có lông tơ ở mặt dưới. Hoa trắng xếp 3-4 cái thành bông. Quả đầu dài 11cm hay hơn, rộng 15mm, thon hẹp ở hai đầu, khía rãnh, mạng nghiêng, có cuống và nhọn lại ở đầu.","Rễ và lá - Radix et Folium Bauhiniae Acuminatae.","Loài phân bố ở Ấn Ðộ tới Inđônêxia và Philippin. Ở nước ta, thường thấy trồng ở đồng bằng Hà Nội, Ðồng Nai, thành phố Hồ Chí Minh, ít gặp cây mọc hoang. Rễ và lá thu hái quanh năm, thường dùng tươi.","","","ở Java, nước chiết nóng rễ cây dùng hãm uống trị ho. Ở Ấn Ðộ, lá giã ra dùng đắp trị loét mũi. Ở Lào, rễ cùng được sử dụng làm thuốc.","",""
"Móng bò trở xanh","","Bauhinia viridescens Desv.","Ðậu - Fabaceae","Cây nhỡ cao 4m, nhánh mảnh, không lông. Lá có lá kèm hình tam giác, cuống lá 2-5cm, phiến lá xoan, đường kính 6-15cm, xẻ 1/2-2/3, mặt trên không lông, mặt dưới có lông ngắn ở gốc; gân từ gốc 7-11. Chùm hoa ở nách lá và ở ngọn, cao 5-15cm, cuống 2-3mm, nụ hình thoi cao 6-10mm; đài hình tàu; cánh hoa xanh xanh, dài 12mm; nhị sinh sản 10; bầu có lông, vòi ngắn. Quả dẹp có vỏ mỏng, dài 5-7cm, rộng 0,7-1cm; hạt 6-10, dẹp, dài 3mm.","Thân dây - Caulis Bauhiniae Viridescentis.","Loài phân bố từ Mianma, Bắc và Trung Thái Lan, Lào, Campuchia tới Việt Nam. Cây mọc ở các rừng thưa có cây họ Dầu ở vùng thấp, ở những nơi không quá khô, gặp nhiều ở núi đá vôi, từ Hoà Bình qua Nghệ An, Hà Tĩnh, Thừa Thiên-Huế tới Ninh Bình, Bình Thuận.","","","Lá non và quả non ăn được. Cây được dùng trong y học dân gian trị bệnh sốt và nấu nước uống cho phụ nữ mới sinh đẻ.","",""
"Móng bò vàng","","Bauhinia tomentosa L.","Ðậu - Fabaceae","Cây nhỡ 3m; nhánh mảnh, có lông mịn. Lá không lông, mặt dưới hơi mốc; lá kèm hình kim cao 8mm. Chùm ít hoa, cuống có 2 tiền diệp nhỏ; đài hình tàu; cánh hoa màu vàng tươi, cánh cờ có bớt đỏ đậm; nhị sinh sản 10; bầu có cuống và lông trắng. Quả dài 7-15cm, rộng 1-1,5cm; hạt khoảng 5, dẹp, to cỡ 1cm. Ra hoa tháng 10-2.","Vỏ, rễ, hoa, quả - Cortex, Radicis, Flos, et Fructus Bauhiniae Tomentosae.","Loài của Á châu nhiệt đới, có thể là cây mọc hoang ở bán đảo Ấn Ðộ, được trồng ở các xứ nhiệt đới, nhưng ít phổ biến ở Ðông Dương, nước ta có trồng ở thành phố Hồ Chí Minh.","","","ở Ấn Ðộ, nước sắc vỏ rễ dùng trị viêm gan, trị giun; chồi và hoa non dùng trị bệnh lỵ. Quả dùng lợi tiểu. Cây dùng trị rắn cắn và bò cạp đốt.","",""
"Móng ngựa","Móng trâu gân dày","Angiopteris confertinervia Ching","Móng ngựa - Angiopteridaceae","Thân rễ ngắn mang một chùm lá kép lông chim hai lần. Thân được bao kín bởi nhiều cuống lá. Lá có cuống dài 0,5m hay hơn; lá chét bậc hai rất không đều, những cái trên và cái tận cùng to hơn, dài hơn nhiều, những cái dưới ngắn hơn, hình bầu dục hay ngọn giáo nhiều hay ít. Gân rất sít nhau, mỗi cm có khoảng 20 cái. Ổ túi bào tử tròn, xếp sít nhau, thường gồm khoảng 10-20 túi bào tử; bào tử tròn, có màng màu đo đỏ. Cây sinh sản từ tháng 4 đến tháng 8.","Thân rễ - Rhizoma Angiopteridis Confertinerviae.","Cây mọc ở rừng Bắc Thái, có nhiều ở ven suối và những chỗ ẩm ướt trên dẫy núi Tam Ðảo. Có tác giả cho rằng cây mọc ở miền Bắc và miền Trung của nước ta, cũng gặp ở Lào và Campuchia.","Trong thân cây có thành phần tính theo g%: muối 92,8; protid 0,8; glucid 9; xơ 2,6; tro 0,8 và theo mg%: calcium 107; phosphor 10; caroten 0,16; vitamin C 17.","","Cuống lá non, tước vỏ, thái nhỏ có thể dùng xào hay nấu canh ăn. Thân rễ rửa sạch, gọt sạch vỏ, thái mỏng ngâm nước một ngày đêm, sau đó luộc, xào lẫn thức ăn hoặc độn cơm ăn. Ghi chú: ở nước ta còn có nhiều loài Angiopteris khác như A. cochinchinensis de Vreese,- A.annamensis C Chr et Tard., A.repandula de Vriese đều có thân rễ (củ) có thể dùng ăn. Một số loài có thể sử dụng làm thuốc như Móng ngựa lá có đuôi.","",""
"Móng ngựa lá có đuôi","","Angiopteris caudatiformis Hieron","Móng ngựa - Angiopteridaceae","Dương xỉ có thân rễ ngắn. Lá hai lần kép, trục lá vàng vàng; lá kép lông chim khoảng 30 cặp, thon, cuống có vẩy; lá chét bậc ba hẹp, dài 10cm, rộng 1,5cm, mọc so le hay đối; có răng ở mép và có mũi dài thành đuôi ở chóp. Ổ túi bào tử dài 1,5mm, ở gần mép lá, mỗi cái có 7-10 túi bào tử.","Thân, rễ - Rhizoma Angiopteridis Caudatiformis.","Loài của Trung Quốc và Việt Nam. Ở nước ta cây mọc ở vùng núi cao các tỉnh phía Nam.","","Vị đắng, chát, tính hàn; có tác dụng thanh nhiệt giải độc, chỉ huyết, khư phong lợi niệu.","Ở Trung Quốc (Vân Nam), thân rễ được dùng chữa viêm ruột, lỵ, thực tích bụng trướng, viêm thận thuỷ thũng, đòn ngã tổn thương, viêm loét dạ dày và hành tá tràng.","",""
"Móng ngựa lá to","Cây toà sen","Angiopteris evecta (Forst.) Hoffin.","Móng ngựa - Angiopteridaceae","Dương xỉ sống lâu năm, thân rễ mọc đứng, dày. Lá rất to, dài tới 2-3m, kép lông chim hai lần; gốc cuống lá có những chỗ phồng nạc, trông như móng trâu, khiến thân rễ nhô lên trên mặt đất tại nhiều chỗ trông như toà sen của Phật; lá chét có thể dài tới 1m; lá chét bậc hai dài 8-20cm, rộng 1-2cm, có cuống ngắn hoặc không cuống, đầu có mũi nhọn ngắn. Ổ túi bào tử ở cạnh mép các lá chét, mỗi bên lá một hàng, mỗi ổ có 8-10 túi bào tử.","Thân rễ - Rhizoma Angiopteridis Evectae.","cây mọc phổ biến ở dọc các khe suối trong rừng từ Lào Cai, Hà Tây qua Quảng Trị đến Kontum.","","Vị chát, se, có tác dụng chống nôn, giảm đau, lợi tiểu, chỉ tả. Rễ có tác dụng chỉ huyết.","Thân rễ làm rau ăn được. Dân gian ở Kontum dùng làm thuốc chữa đau dạ dày, đau ruột. Ở Thái Lan, thân rễ được dùng trừ nôn mửa, cầm ỉa chảy, rễ dùng ngoài đắp làm thuốc cầm máu.","",""
"Móng rồng","Dây công chúa, A. odoratissimus R. Br","Artabotrys uncinatus (Lam.) Baill ex Merr.","Na - Annonaceae","Cây bụi leo to. Lá có phiến thon, không lông. Cụm hoa gần như mọc đối diện với lá, mang 2 hoa, sau cuống trở thành mấu cong; lá đài 3, có lông, cánh hoa 6, hẹp, vàng, gốc hình muỗng, 3 cánh hoa trong hơi dính nhau ở gốc; nhị nhiều. Lá noãn chín vàng tròn tròn, chứa nhiều hạt. Hoa tháng 12, quả tháng 6.","Hoa, lá, quả - Flos, Folium et Fructus Artabotrylis Uncinati.","Loài của Ấn Ðộ, Campuchia tới Philippin. Cây mọc hoang ở Lai Châu, Lào Cai tới Ninh Bình. Thường được trồng làm cây cảnh vì hoa rất thơm, mùi dịu.","Hoa chứa tinh dầu.","","Hoa thơm có thể cất dầu dùng trong hương liệu và có thể dùng để ướp trà. Ở Malaixia, nước sắc lá dùng trị dịch tả. Ở Trung Quốc người ta dùng quả giã nhỏ đắp ở cổ trị bệnh tràng nhạc.","",""
"Móng rồng nhỏ","Thần xạ thâm, Dây công chúa trung gian","Artabotrys intermedius Hassk.","Na -Annonaceae","Dây leo to, cao 4-5m, tới 20cm thường toả ra rất rộng. Phần gốc thân thường có gai. Lá dài, không lông. Cuống lá hình móc đối diện với lá. Hoa có cánh hoa thon dẹp, màu vàng lục hay lục nhạt, khi hoa già ngả sang màu vàng lưu huỳnh. Hoa chứa hơn 20 lá noãn không lông, khi chín thành một chùm quả hình cầu có vòi nhuỵ tồn tại ở cạnh, màu vàng lưu huỳnh, mỗi lá noãn chứa 1-2 hạt.","Lá, rễ - Folium et Radix Artabotrytis Intermedii.","Loài của Campuchia, Nam Việt Nam, Inđônêxia. Ở Việt Nam, cây phân bố từ Khánh Hoà, Ninh Thuận, Ðồng Nai tới Tây Ninh, Kiên Giang, An Giang. Các bộ phận của cây thu hái quanh năm, dùng tươi hay phơi khô.","","","Quả thơm ăn được. Hoa thơm dùng ướp quần áo cũng dùng để chế sáp bôi môi. Lá cây lợi sữa. Rễ cây sắc nước dùng cho phụ nữ sinh đẻ uống, các lương y ở Ðồng Tháp, An Giang dùng nó làm thuốc thông kinh, trục huyết ứ và làm thuốc trị trúng gió và chữa đau nhức gân xương.","",""
"Móng rùa","","Pantadenia adenanthera Gagnep.","Thầu dầu - Euphorbiaceae","Cây nhỏ mọc đứng cao 0,4-2m, phân nhánh. Nhánh hơi có lông, hình trụ về sau nhẵn và có nhiều lỗ lá. Lá mọc so le vươn ngọn giáo, dài 9-15cm, rộng 3,5-6cm mặt dưới có tuyến hoa rải rác; gân gốc 5, hai cái bên nhỏ hơn, gân phụ 5 đôi, cuống bên có cành, dài 5-7mm. Cụm hoa đối diện với lá, khác gốc. Hoa đực có 5 lá đài, 5 cánh hoa, đầu mỗi cánh hoa có 1-3 tuyến hình bầu dục, đĩa hình đấu lượn sóng, 12-15 nhị. Hoa cái có 5-6 lá đài, 2-3 cánh hoa với 5 tuyến ở chóp, đĩa hình vòng và bầu hình cầu có lông. Quả nang 3 góc mở thành 6 mảnh, hạt gần hình cầu rộng cỡ 4mm, nhẵn.","Rễ - Radix Pantadeniae Adenantherae","Cây của miền Đông dương, mọc hoang ở rừng cùng với Tung hay Lá buôn ở Đồng Nai và nhiều nơi khác vùng Đồng bằng sông Cửu Long đến tận núi Đài huyện Tịnh Biên, Tỉnh An Giang.","","","Ở Campuchia, người ta dùng rễ để chế biến một loại nước uống dùng trị bệnh đau thận.","",""
"Mô ca","","Buchanania reticulata Hance","Ðào lộn hột - Anacardiaceae","Cây gỗ nhỏ, nhánh non có lông. Lá dai, dày, gân phụ lồi làm thành một mạng rõ rệt ở mặt dưới. chùy hoa dài hơn lá. Hoa vàng xanh; cánh hoa 3mm; nhị 10; lá noãn 5. Quả hạch, lúc non có lông sát. Hoa tháng 1-5.","Vỏ, nhựa gôm - Cortex et Gummis Buchananiae Reticulatae.","Loài của Campuchia, Lào, Thái Lan và Việt Nam. Ở nước ta, cây mọc hoang trong rừng đá vôi giữa 200-600m, chủ yếu ở rìa của rừng bị ngập trong từng thời kỳ. Cũng gặp ở savan đất độ sâu trung bình, nhất là ở rìa các rừng thưa.","Vỏ chứa tanin; hạt chứa dầu.","Vỏ chát, có tác dụng thu liễm.","Quả và hạt ăn được. Lá cũng dùng ăn sống như các loại rau. Vỏ cũng được dùng làm thuốc chữa các vết thương, chữa viêm lợi răng. Nhựa gôm chảy ra từ gỗ cây có màu vàng sáng, cũng có những tính chất như gôm arabic, dùng được làm thuốc trị ỉa chảy.","",""
"Mộc","Hoa mộc, Quế hoa","Osmanthus fragrans (Thunb.) Lour.","Nhài - Oleaceae","Cây gỗ nhỏ cao 2-3m; cành non dẹp dẹp và phồng lên ở các mấu. Lá có phiến thon, dài 5-12cm, rộng 2-4cm, dày, không lông, mép có răng nhọn nhỏ, gân phụ nhiều. Chùm hoa ngắn ở nách lá, cuống dài 1,7cm, mảnh; hoa vàng vàng, rất thơm; đài cao 1mm; tràng có ống ngắn; tiền khai vặn; nhị 2; bầu 2 ô. Quả hạch hình bầu dục, màu xanh, cao 15-18mm, rộng 8-12mm, chứa một hạt. Ra hoa quanh năm, chủ yếu vào mùa thu.","Hoa, quả, rễ - Flos, Fructus et Radix Osmanthi Fragrantis.","Loài của Trung Quốc, Nhật Bản, Ấn Độ. Ta thường trồng làm cảnh. Thu hái hoa vào mùa thu; rễ thu hái quanh năm.","Hoa chứa asmane và cả triterpenoid và steroid.","Hoa có vị cay, tính ấm; có tác dụng tán hàn, phá kết, hoá đàm, sinh tán. Quả có vị cay, ngọt, tính ấm; có tác dụng tán hàn noãn vị, bình can ích thận. Rễ có vị ngọt, hơi chát, tính bình; có tác dụng khư phong chỉ thống.","Hoa thường được dùng để ướp trà và dùng làm thuốc trị đau răng, ho nhiều đờm, kinh bế đau bụng. Quả dùng trị hư hàn đau dạ dày. Rễ dùng trị phong thấp tê đau gân cốt, đau lưng, thận hư, đau răng. Hoa cũng có thể dùng nấu với dầu vừng làm một loại mỹ phẩm thơm cho tóc. Vỏ cũng dùng nấu nước uống để làm cho sáng mắt và tăng sắc đẹp.","",""
"Mộc hương","Quảng mộc hương, Aucklandia lappa Decne.","Saussurea lappa C. B. Clarke","Cúc -Asteraceae","Cây thảo sống lâu năm, rễ mập. Thân hình trụ rỗng, cao 1,5-2m. Vỏ ngoài màu nâu nhạt. Lá mọc so le; phiến chia thùy không đều ở phía cuống, dài 12-30cm, rộng 6-15cm, mép khía răng, có lông ở cả hai mặt nhất là ở mặt dưới; cuống lá dài 20-30cm. Các lá ở trên thân nhỏ dần và cuống cũng ngắn dần, lá trên ngọn hầu như không cuống; hầu như ôm lấy thân. Cụm hoa hình đầu, màu lam tím. Quả bế hơi dẹt, màu nâu nhạt lẫn những đốm màu tím. Ra hoa tháng 7-8, kết quả tháng 8-10.","Rễ - Radix Saussureae, thường gọi là Mộc hương","Cây được nhập trồng và thích nghi với một số vùng cao của nước ta như Sapa, Tam Ðảo, Ðà Lạt và vùng phụ cận. Nhân giống bằng hạt vào tháng 11-12. Cây ưa đất phù sa cát tơi xốp; nếu đất quá ẩm ướt thì dễ bị bệnh thối cổ rễ. Trồng một năm thì thu hoạch, có thể để qua năm vào tháng 1,2 khi cây bắt đầu tàn lá, thân khô và lụi dần. Ðào bằng cuốc để tránh gãy nát, cắt bỏ phần mấu thân, lấy củ rửa sạch, phơi hay sấy khô. Có thể dùng tươi hoặc chế biến thành Tửu mộc hương, Mộc hương nướng, Mộc hương sao.","Trong củ có costus lactone, dihydrocostus lactone, saussurea lactone, costunotide và dihydrocostunolide.","Mộc hương có vị cay, đắng, tính ấm; có tác dụng hành khí chỉ thống, kiện tỳ tiêu tích; nói chung nó có tác dụng làm tan ứ trệ, hoà tỳ vị, đuổi phong tả, tả khí hoả, phát hãn, giải cơ biểu... như Thổ mộc hương. Còn có tác dụng lý khí, dùng để hành khí giảm đau, kiện tỳ, chỉ tả. Loại nướng có tác dụng hoà hoãn hành khí, trợ sức cho đại tràng, chỉ tả lỵ.","Thường dùng trị mọi chứng đau, trúng khí độc bất tỉnh, tiểu tiện bế tắc, đau bụng, khó tiêu, trướng đầy, gây trung tiện, ngừng nôn mửa, tiết tả đi lỵ.","0,5-1g nhai nuốt hoặc mài với nước uống, có khi dùng tới 3-6g sắc hoặc tán bột uống.","Chữa đi lỵ mạn tính: Mộc hương, Hoàng liên bằng nhau, tán bột làm viên, mỗi lần uống 0,2-0,5g, uống ngày 2-3 lần."
"Mộc ký ngũ hùng","Tầm gửi năm nhị, Loranthus pentandrus L.","Dendrophthoe pentandra (L.) Miq","Tầm gửi - Loranthaceae","Cây bán ký sinh có nhánh to, hình trụ, sù sì. Lá mọc so le, có khi gần như đối; phiến đa dạng, chóp tù hay nhọn, gốc tù, không lông, dày như da, dài 5-9cm, rộng 3-6cm. Hoa xếp thành bông, đơn độc hoặc từng đôi ở nách lá; lá bắc 1, nhỏ; cánh hoa 5, đính thành ống hơi phình, phía trong đỏ. Quả xoan tròn, cao đến 1cm, bao bởi các thùy của đài.","Lá - Folium Dendrophthoes.","Loài phân bố ở Ấn Độ, Lào, Campuchia, Thái Lan, Việt Nam, Malaixia, Inđônêxia, Philippin. Cây mọc thông thường ở đồng bằng trung du cho tới rừng ngập mặn ven biển, cùng môi trường với Giá, Mắn và Tràm, từ Hà Tây tới Khánh Hoà, Lâm Ðồng, Ninh Thuận, Tây Ninh, Ðồng Nai, thành phố Hồ Chí Minh, Bà Rịa - Vũng Tàu, Kiên Giang. Thường gặp ký sinh trên cây Trám trắng và có khi cả trên cây Dâu.","Cành cây chứa quercitrin và một chất sáp.","","Người ta thường dùng lá phối hợp với lá chè nấu nước uống trị ho. Ở Ấn Độ, người ta dùng lá giã đắp trị chỗ đau và loét.","",""
"Mộc nhĩ","Nam tai mèo, Nấm mèo","Auricularia auricula (L.) Underw.","Mộc nhĩ - Auriculariaceae","Thể quả dạng cái tai mèo gồm mặt không sinh sản ở phía trên, hầu như nhẵn đến phủ lông nâu, mô nấm chất keo và mặt sinh sản nhẵn hay nhăn theo nhiều hay ít, phủ lớp phấn trắng do bào tử phóng ra khi nấm trưởng thành. Cơ quan sinh sản là đảm đa bào, hình chùy, nằm sâu trong chất keo. Một tế bào đảm có một cuống nhỏ ở bên dưới kéo dài qua lớp bao nhầy và tới bề mặt của thể quả. Trên mỗi cuống nhỏ này có một bào tử đảm. Thịt nấm dày 1-3mm.","Thế quả của Mộc nhĩ - Auricularia.","Nấm mọc trên thân cành hay gỗ mục của nhiều loại cây, lành nhất là nấm của các cây Hoè, Ðậu, Sung, Mít, Dướng, Ruối, Sắn, So đũa... Ngoài việc thu hái nấm mọc tự nhiên, người ta thường trồng Mộc nhĩ trên gỗ cây Mít, trên thân cây Sắn, cây So đũa để có sản lượng nhiều và bảo đảm phẩm chất tốt. Thu hái nấm vào mùa hè, mùa thu, rửa sạch, cắt bỏ phần bẩn dính vào giá thể, rồi phơi khô.","","Mộc nhĩ có vị ngọt, tính bình; có tác dụng dưỡng huyết, thông mạch, cầm máu. Ăn nhiều thì nhẹ mình, nhớ lâu, quang nước mắt.","Thường được sử dụng chữa: 1. Suy nhược toàn thân, thiếu máu, ho; 2. Khái huyết, trị xuất huyết, chảy máu cam, xuất huyết tử cung; 3. Huyết áp cao, táo bón; còn dùng chữa chứng nhiệt lỵ, trĩ, đau răng.","10-30g dạng thuốc sắc hay tán bột uống.","1. Chữa đi lỵ ra máu: 20g Mộc nhĩ sao tán bột, uống làm 3 lần.
2. Chữa đau răng: Dùng Mộc nhĩ và Kinh giới, sắc lấy nước ngậm và súc miệng.
3. Chữa suy nhược: Mộc nhĩ 30g, Chà là 30g, sắc uống.
4. Trị xuất huyết, táo bón: Mộc nhĩ 6g, Hồng khô 30g nấu chè ăn.
5. Chữa bệnh trĩ lâu ngày: Nấu Mộc nhĩ ăn luôn thì khỏi.
6. Huyết áp cao, xơ cứng tiểu động mạch, chảy máu võng mạc...: Mộc nhĩ 30g ngâm trong nước một đêm, rồi đem hấp chín với đường trong 1-2 giờ, dùng ăn trước khi đi ngủ."
"Mộc nhĩ lông","Nấm tai mèo lông, Nấm mộc nhĩ lông","Auricularia polytricha (Mont.) Sace.","Mộc nhĩ - Auriculariaceae","Mũ nấm dạng tai, mép hơi cuộn vào lúc còn non. Khi nấm già mép phẳng ra. Lúc non nấm có màu nâu hoặc nâu tím, sau nâu hồng, rồi nhạt dần khi nấm già. Mặt mũ phủ lông thô, màu trắng, có thể nhìn thấy bằng mắt thường. Thịt nấm dày 1-3mm. Cuống nấm rất ngắn, trông như không có.","Thế quả của Mộc nhĩ - Auricularia.","Nấm mọc đơn độc hay thành cụm trên thân gỗ mục trong rừng. Nấm mọc quanh năm, nhiều nhất là sau khi mưa và nơi ẩm. Có thể gây trồng làm thực phẩm trên các loại cây mồi như So đũa. Xoài, Mít, Vông, Sung, Sồi, Sắn, Ổi, Cam, Quít, Gòn, Cao su với đường kính cây trung bình 15-20cm. Ðục lỗ bằng búa hay đục để cấy giống nấm. Thanh trùng các dụng cụ, vật liệu. Cấy xong, xếp vào chỗ cao ráo, thoát nước, thoáng khí, mỗi ngày tưới vài lần. Khoảng 30-40 ngày nấm mọc, xếp lại cho thoáng, 8-10 ngày sau hái nấm, một lít giống sợi Mộc nhĩ cấy ra 30 khúc gỗ dài 1m, mỗi tháng có thể thu được 10-15kg nấm tươi, nếu phơi khô sẽ được 2-3kg nấm khô.","Mộc nhĩ khô chứa 11,4% nước, 10,5% protid, 65% glucid, 357mg% calcium, 201mg% phosphor 0,55mg% vitamin B2, 2,7mg% vtamin PP.","Vị ngọt nhạt, tính mát; có tác dụng nhuận tràng, hoạt huyết, thông tiểu.","Chữa bệnh trĩ, đái buốt, kiết lỵ, băng huyết, rong kinh, bạch đới, táo bón.","Dùng toàn cây nấm sao cháy, mỗi ngày 5-12g tán bột uống hoặc dùng 15-20g dạng thuốc sắc (uống nước và ăn cả bã).",""
