"chuong_so","tieu_de_chuong","ten_bai_thuoc","chua_tri","lieu_luong_cach_dung","cong_hieu","chu_y","ghi_chu","doi_tuong_phu_hop","luu_y","cong_dung_khac"
70,"CHỮA BỆNH TRÀNG NHẠC (HẠCH TUYẾN LIM PHA), BƯỚU CỔ","CANH TẢO ĐỎ, CỦ CẢI, TRẦN BÌ","Bệnh bướu cổ thời kỳ bệnh nặng, tim đập mạnh, thở dốc.","Tảo đỏ 50gr, 1 củ cải, 1 miếng trần bì, sắc lấy nước uống.","","","","","",""
70,"CHỮA BỆNH TRÀNG NHẠC (HẠCH TUYẾN LIM PHA), BƯỚU CỔ","MAI CÁ MỰC, TẢO BIỂN","Bệnh bướu cổ.","Mai cá mực 12gr, tảo biển, rong biển, bột sò biển vừa đủ. Sắc lấy nước uống. Có thể chế thành thuốc viên. Có thể thay rong biển bằng ốc biển. Bài thuốc này cũng có thể dùng chữa bệnh ba-zơ-đô, bệnh khối u tuyến giáp trạng.","","","","","",""
70,"CHỮA BỆNH TRÀNG NHẠC (HẠCH TUYẾN LIM PHA), BƯỚU CỔ","CON GIÁN ĐẤT NẤU VỚI HOA KIM NGÂN","Bệnh bướu cổ.","Con gián đất, hoa kim ngân mỗi thứ 1.000gr, nhân táo, nhân đào mỗi thứ 500gr, hạt mã tiền 250gr, băng phiến 30gr, nước gan lợn 750gr. Trừ nước gan lợn ra, còn các vị thuốc trên đều đem sao khô tán nhỏ. Nước gan lợn đun sôi trong 1 tiếng, cho 8 vị thuốc trên và mật ong vào quấy đều, cô đặc, chế thành thuốc viên. Mỗi viên khoảng 2,5gr. Hàng ngày, mỗi buổi sáng, chiều ăn 1 viên.","","","","","",""
71,"CHỮA BỆNH QUAI BỊ","DẦU VỪNG RÁN BỌ CẠP","Bệnh quai bị.","Dùng dầu vừng rán bọ cạp. Mỗi lần ăn 1 con. Mỗi ngày 2 lần. Ăn liên tục trong 2 ngày.","","","","","",""
71,"CHỮA BỆNH QUAI BỊ","ĐẬU XANH NẤU VỚI BÚP RAU CẢI TRẮNG","Bệnh quai bị.","Dùng 100gr đậu xanh, ninh nhừ, cho vào 2- 3 búp cải trắng, đun tiếp 20 phút là ăn được. Mỗi ngày ăn 1 - 2 lần. Ăn bữa phụ hoặc bữa chính.","Giải độc, tiêu viêm.","","","","",""
72,"CHỮA BỆNH MẤT NGỦ","TÂM SEN HÃM VỚI CAM THẢO","Chứng mất ngủ do tâm hỏa nóng trong (bệnh trạng: tim đập mạnh, mất ngủ, bực bội bồn chồn, đái ít, nước đái đỏ, lưỡi đỏ, bựa lưỡi ít).","Tâm sen 2gr, cam thảo tươi 3gr, hãm với nước sôi. Uống thay nước chè, mỗi ngày uống nhiều lần.","- Thanh tâm, an thần, hạ huyết áp. Chữa trị chứng mất ngủ do tâm hỏa, nóng trong, bồn chồn, bực bội.","","","","",""
72,"CHỮA BỆNH MẤT NGỦ","BÁCH HỢP VỚI NƯỚC ĐƯỜNG","Bệnh mất ngủ do tâm hỏa, nóng trong (bệnh trạng như trên).","Bách hợp tươi 100gr, cho vào 500ml nước, đun nhỏ lửa, sau khi chín nhừ cho vào một ít đường trắng. Chia làm 2 ăn hết trong ngày.","Chữa chứng mất ngủ do tâm hỏa, âm hư, sau khi ốm vẫn còn sốt.","Những người gan ráo nóng, ho khan đờm có máu cũng dùng chữa có hiệu quả.","","","",""
72,"CHỮA BỆNH MẤT NGỦ","ĐAN SÂM, ĐƯỜNG PHÈN","Chứng mất ngủ do tâm hỏa, nóng trong (bệnh trạng như trên).","Đan sâm 30gr, nước 300ml. Sắc lấy 200ml, bỏ bã, lấy nước. Cho đường phèn lượng vừa đủ, quấy tan. Mỗi lần uống 30ml. Mỗi ngày 2 lần.","","Những người mất ngủ kéo dài do buồn phiền. Những người tim, thận không bình thường không được dùng bài thuốc này.","","","",""
72,"CHỮA BỆNH MẤT NGỦ","CHÁO NHÂN TÁO","Chứng mất ngủ do tâm tỳ đều hư (bệnh trạng: yếu tim, mất ngủ, hay nằm mơ, dễ tỉnh ngủ, da xanh xao, cơ thể yếu, gầy còm, ăn ít, trướng bụng, nhạt miệng, mạch trầm vi nhược).","Lấy 50gr nhân táo chua đập dập sắc lấy nước đặc, bỏ bã. Cho nước vừa đủ vào 100gr gạo, nấu thành cháo. Khi cháo chín, cho nước sắc nhân táo vào, quấy đều, đun sôi lên là được. Ăn nhạt, hoặc có thể cho vào 1 ít đường.","Chữa chứng mất ngủ, thần kinh suy nhược.","Những người mất ngủ do gan nóng, tà nhiệt sinh ra thì không được dùng bài thuốc này.","","","",""
72,"CHỮA BỆNH MẤT NGỦ","CANH HOÀNG LIÊN, CAO A GIAO, TRỨNG GÀ","Chứng mất ngủ do tim, thận yếu (bệnh trạng: Bồn chồn, mất ngủ, di tinh, ra mồ hôi trộm, lưỡi đỏ, mạch vi, nhanh).","Hoàng liên 5gr, bạch truật tươi 10gr, sắc lấy 100ml nước, bỏ bã. Hòa tan Cao A Giao, trộn với 100ml nước hoàng liên, bạch truật thành 300ml. Đun sôi, cho 2 lòng đỏ trứng gà vào, quấy đều. Ăn vào buổi tối, trước khi đi ngủ.","","Những người tỳ, thận hư hàn không được dùng bài thuốc này.","","","",""
72,"CHỮA BỆNH MẤT NGỦ","CAO NGŨ VỊ TỬ","Chứng mất ngủ do tim, thận đều hư (bệnh trạng như trên).","Ngũ vị tử 250gr, ngâm nước nửa ngày. Ninh nhừ, bỏ bã, cô đặc, cho mật ong vào quấy đều. Mỗi lần ăn 20ml. Mỗi ngày ăn 2-3 lần.","Điều hòa hệ thống thần kinh trung ương. Chữa trị chứng mất ngủ do thần kinh suy nhược. Chứng viêm gan mạn tính, cấp tính.","","","","",""
72,"CHỮA BỆNH MẤT NGỦ","QUẶNG MA-NHÊ-TIT, GẠO TẺ","Bệnh mất ngủ của người cao tuổi (bệnh trạng: người cao tuổi thận hư, tim đập mạnh, mất ngủ, tai ù, nghễnh ngãng, hoa mắt, nhức đầu).","Dùng 60gr ma-nhê-tit, tán nhỏ, cho nước đun sôi trong 1 tiếng, gạn bỏ bã, lấy nước. Dùng 1 quả cật lợn, mổ quả cật, rửa sạch, thái nhỏ. Lấy 100gr gạo tẻ, quả cật lợn cho vào nước quặng ma-nhê-tit nấu thành cháo.","Bổ thận, an thần.","","","","",""
72,"CHỮA BỆNH MẤT NGỦ","HẠT SEN, BÁCH HỢP NẤU VỚI LONG NHÃN","Chữa chứng mất ngủ.","Hạt sen 10gr, long nhãn 10gr, bách hợp 10gr, ngũ vị tử 9gr đổ nước nấu lên ăn.","Giảm buồn phiền, khỏi mất ngủ.","","","","",""
72,"CHỮA BỆNH MẤT NGỦ","HẠT SEN TRẮNG","Chứng mất ngủ, ngủ không yên giấc, hoặc khó ngủ.","Hạt sen trắng 150gr. Ninh nhừ. Ăn liên tục nhiều lần.","Tĩnh tâm, khỏi mất ngủ.","","","","",""
72,"CHỮA BỆNH MẤT NGỦ","VỪNG ĐEN, NHÂN HẠT ĐÀO... HOÀN","Chứng mất ngủ do gan, thận yếu.","Vừng đen, nhân quả đào, câu kỷ tử, ngũ vị tử trộn với mật ong, chế biến thành thuốc viên, mỗi viên khoảng 10gr. Mỗi lần uống 1 viên. Mỗi ngày 3 lần. Uống với nước sôi lúc chưa ăn cơm.","Bổ thận, gan, khỏi mất ngủ.","","","","",""
72,"CHỮA BỆNH MẤT NGỦ","THỊT RÙA NẤU VỚI BÁCH HỢP, TÁO TÀU","Bệnh mất ngủ.","Thịt rùa khoảng 250gr, bách hợp 30gr, táo tàu 10 quả. Ninh nhừ. Ăn cả nước lẫn cái.","Hết buồn phiền, khỏi mất ngủ.","","","","",""
72,"CHỮA BỆNH MẤT NGỦ","SÒ BIỂN TƯƠI NẤU VỚI THỊT LỢN NẠC","Bệnh mất ngủ.","Mỗi lần dùng 150gr sò biển tươi, 100gr thịt lợn nạc. Nấu chín kỹ, cho vào một ít muối. Ăn vào 2 bữa cơm.","Bổ huyết, tĩnh tâm, khỏi mất ngủ.","","","","",""
72,"CHỮA BỆNH MẤT NGỦ","CỒI BIỂN (SÒ, HẾN KHÔ) NẤU VỚI THỊT LỢN NẠC","Bệnh mất ngủ.","Mỗi lần dùng 30 - 50gr sò, hến khô, 200gr thịt lợn nạc. Nấu chín kỹ. Ăn vào 2 bữa cơm.","Bổ thận, an thần.","","","","",""
72,"CHỮA BỆNH MẤT NGỦ","VỊT HẤP ĐÔNG TRÙNG HẠ THẢO","Bệnh mất ngủ.","Mỗi lần dùng 1 con vịt, làm sạch lông, bỏ ruột, rửa sạch. Lấy 10 - 12gr đông trùng hạ thảo cho vào trong bụng vịt. Hấp cách thủy cho đến khi chín nhừ, cho vào 1 ít muối. Ăn thịt, uống nước.","Mát, bổ tim, thận, khỏi mất ngủ.","","","","",""
72,"CHỮA BỆNH MẤT NGỦ","QUẢ DÂU NẤU VỚI ĐƯỜNG","Bệnh mất ngủ.","Mỗi lần dùng 60gr quả dâu chín đỏ, tươi. Cho vào 2 bát nước, sắc lấy 1 bát. Cho vào 1 ít đường trắng, hoặc đường phèn, quấy đều, bỏ bã, uống nước.","Bổ âm, khỏi mất ngủ.","","","","",""
72,"CHỮA BỆNH MẤT NGỦ","NHÂN QUẢ ĐÀO TRỘN VỚI MẬT ONG","Bệnh mất ngủ.","Mỗi lần dùng 5 - 8 quả đào (bỏ vỏ lấy nhân), ngũ vị tử 2 - 3gr, rửa sạch trộn đều với mật ong.","Bổ thận, khỏi mất ngủ.","","","","",""
72,"CHỮA BỆNH MẤT NGỦ","GAN LỢN HẤP VỚI HOA DẠ HỢP","Bệnh mất ngủ.","Mỗi lần dùng từ 10 - 12gr hoa dạ hợp khô, ngâm vào nước sôi từ 4 - 6 tiếng, vớt ra cho vào 100 - 150gr gan lợn thái miếng. Hấp cách thủy.","Bổ gan, an thần, giải phiền.","","","","",""
72,"CHỮA BỆNH MẤT NGỦ","NƯỚC QUẢ DÂU HÒA MẬT ONG","Bệnh thần kinh suy nhược.","Lấy quả dâu tươi, chín đỏ ép lấy nước. Đun nhỏ lửa, cô đặc, hòa mật ong vào, quấy đều, để nguội ăn dần. Mỗi ngày uống 2 thìa vào lúc sáng, chiều. Uống với nước sôi.","","","","","",""
72,"CHỮA BỆNH MẤT NGỦ","","","Mỗi lần dùng 1 bộ óc lợn, 30gr hoài sơn, 10gr kỷ tử. Sắc kỹ lấy nước uống.","Bổ dưỡng cơ thể, an thần.","","","","",""
72,"CHỮA BỆNH MẤT NGỦ","THƯỜNG XUYÊN ĂN ĐẬU TƯƠNG VÀ THỰC PHẨM CHẾ BIẾN TỪ ĐẬU TƯƠNG","Suy nhược thần kinh.","Thường xuyên ăn đậu tương và các loại thực phẩm chế biến bằng đậu tương.","Có tác dụng bổ sung dinh dưỡng, bồi dưỡng cơ thể; chữa thần kinh suy nhược.","","","","",""
72,"CHỮA BỆNH MẤT NGỦ","THỊT MÈO, LONG NHÃN, ĐẲNG SÂM HẤP CÁCH THỦY","Thần kinh suy nhược.","Mỗi lần dùng 15gr long nhãn, 30gr đẳng sâm, 150 - 250gr thịt mèo. Hấp cách thủy. Ăn cái, uống nước.","","","","","",""
72,"CHỮA BỆNH MẤT NGỦ","CANH HÀNH, TÁO TÀU","Thần kinh suy nhược.","Dùng 20 quả táo rửa sạch ngâm nước cho nở, đun sôi trong 20 phút, cho vào 7 củ hành, đun nhỏ lửa trong 10 phút. Ăn cái, uống nước.","","","","","",""
72,"CHỮA BỆNH MẤT NGỦ","ĐƯƠNG QUY, ĐẲNG SÂM, SƠN DƯỢC, CẬT LỢN","Suy nhược thần kinh.","Quả cật lợn 500gr, bổ ra, bỏ cơ mô tuyến hôi, rửa sạch. Cho đương quy, đẳng sâm, sơn dược, mỗi thứ 10gr vào lượng nước vừa đủ. Hầm kỹ cho thuốc ngấm vào quả cật. Vớt quả cật ra, để nguội, thái mỏng, trộn đều với xì dầu, giấm, gừng, tỏi băm nhỏ, dầu vừng. Ăn vào 2 bữa cơm.","Điều hòa âm dương.","","","","",""
72,"CHỮA BỆNH MẤT NGỦ","UỐNG MẬT ONG, TRỨNG GÀ VỚI NƯỚC SÔI","Bệnh giảm trí nhớ, hay quên.","Mật ong 50gr, lòng trắng trứng gà 1 quả, quấy đều, uống với nước sôi. Hàng ngày uống 1 lần vào buổi sáng sớm. Điều trị liên tục 7 ngày.","","","","","",""
72,"CHỮA BỆNH MẤT NGỦ","QUẢ TỲ BÀ, TÁO NẤU VỚI TRỨNG GÀ","Thần kinh suy nhược.","Mỗi lần dùng 15 - 30gr quả tỳ bà (quả chua ngọt), 6 - 8 quả táo, 2 quả trứng gà. Cho vào nước, đun sôi. Khi trứng chín, vớt ra bóc bỏ vỏ, rồi cho trứng vào nước thuốc tiếp tục đun sôi kỹ. Ăn trứng, uống nước. Ăn 3 lần sẽ thấy hiệu quả.","Bổ khí huyết, an thần, khỏi mất ngủ.","","","","",""
72,"CHỮA BỆNH MẤT NGỦ","VỪNG GIÃ VỚI ĐƯỜNG TRẮNG","Thần kinh suy nhược.","Mỗi lần dùng 2 thìa vừng rang thơm, cho đường trắng vừa đủ, giã nát. Uống với nước sôi.","Tăng trí nhớ, an thần.","","","","",""
72,"CHỮA BỆNH MẤT NGỦ","THANG CAM THẢO, TIỂU MẠCH, TÁO TÀU","Thần kinh suy nhược.","Mỗi lần dùng 10gr cam thảo, 30gr tiểu mạch, 5 quả táo, cho vào 2 bát nước, sắc lấy 1 bát, bỏ bã, uống nước.","Bổ khí huyết, bổ tim, an thần.","","","","",""
72,"CHỮA BỆNH MẤT NGỦ","CÁ NHEO NẤU VỚI SƠN THÙ DU","Thần kinh suy nhược.","Mỗi ngày dùng 60gr sơn thù du tươi (nếu khô thì cần 5gr), 1 - 2 con cá nheo. Cho vào 3 bát nước, đun cạn còn 1 bát. Cho vào 1 ít muối, dầu ăn quấy đều. Ăn cái, uống nước.","Bổ máu, an thần.","","","","",""
72,"CHỮA BỆNH MẤT NGỦ","THỊT LỢN NẠC NẤU VỚI KHIẾM THỰC, HẠT SEN","Thần kinh suy nhược.","Mỗi lần dùng 50gr hạt sen, 50gr khiếm thực, 200gr thịt lợn nạc. Ninh nhừ, cho vào 1 ít muối. Ăn vào 2 bữa cơm.","Bổ thận, an thần.","","","","",""
72,"CHỮA BỆNH MẤT NGỦ","THỊT LỢN NẠC HẤP VỚI BỘT LINH CHI","Thần kinh suy nhược.","Mỗi lần dùng 3gr linh chi tán nhỏ, 100gr thịt lợn nạc băm nát. Trộn đều với nhau, cho vào ít xì dầu. Hấp cách thủy. Ăn vào 2 bữa cơm.","Tăng cường khí huyết, bổ âm, an thần.","","","","",""
72,"CHỮA BỆNH MẤT NGỦ","NỮ TRINH TỬ NGÂM RƯỢU","Thần kinh suy nhược.","Nữ trinh tử 250gr, rượu nếp 500ml. Ngâm 3- 4 tuần. Mỗi ngày uống 1 lần. Uống nhiều, ít tùy theo tửu lượng từng người.","Bổ thận, bổ âm, bổ máu, an thần.","","","","",""
72,"CHỮA BỆNH MẤT NGỦ","VỊT HẦM VỚI ĐÔNG TRÙNG HẠ THẢO","Thần kinh suy nhược.","Mỗi lần dùng 1 con vịt, làm sạch lông, bỏ ruột. Dùng 10 - 12gr đông trùng hạ thảo rửa sạch, cho vào bụng vịt. Hấp cách thủy. Cho vào 1 ít muối. Ăn thịt, uống nước.","Bổ tim, an thần.","","","","",""
72,"CHỮA BỆNH MẤT NGỦ","MẬT ONG UỐNG VỚI NƯỚC SÔI","Thần kinh suy nhược.","Lấy 1/2 chén mật ong (uống trước bữa ăn, uống lúc đói, uống với nước sôi), mỗi ngày uống 1 - 2 lần.","Chữa các chứng bệnh về chức năng thần kinh các loại, nhất là đối với phụ nữ.","","","","",""
72,"CHỮA BỆNH MẤT NGỦ","CAO QUẢ DÂU, MẬT ONG","Thần kinh suy nhược.","Chọn những quả dâu tươi, chín, ép lấy nước; đun nhỏ lửa, cô đặc. Cho mật ong (lượng vừa đủ), quấy đều, cô thành cao. Mỗi ngày uống 1 - 2 thìa vào buổi sáng, chiều với nước sôi.","Tăng cường khí huyết, an thần.","","","","",""
72,"CHỮA BỆNH MẤT NGỦ","CHÁO GẠO NẾP, TIỂU MẠCH","Thần kinh suy nhược.","Mỗi lần dùng 50gr gạo nếp, 60gr tiểu mạch. Nấu thành cháo, cho vào cháo 1 ít đường trắng. Ăn bình thường.","Bổ tim, an thần.","","","","",""
72,"CHỮA BỆNH MẤT NGỦ","LƯƠN HẤP VỚI HOÀI SƠN, BÁCH HỢP","Thần kinh suy nhược.","Mỗi lần dùng 250gr lươn, hoài sơn, bách hợp mỗi thứ 30gr. Hấp cách thủy.","Bổ tim, an thần.","Máu lươn lạnh, độc, nhất thiết không được uống sống. Những người bàn tay có vết thương, khi làm thịt lươn phải mang găng tay, nhất thiết không được tiếp xúc trực tiếp.","","","",""
72,"CHỮA BỆNH MẤT NGỦ","ÓC LỢN HẤP VỚI THIÊN MA (GASTRODIA ELATA)","Thần kinh suy nhược.","Mỗi lần có thể dùng 10gr thiên ma, 1 bộ óc lợn. Hấp cách thủy. Mỗi ngày hoặc cách ngày ăn 1 lần. Ăn liên tục 3 - 4 lần sẽ có hiệu quả.","An thần, khai huyệt.","","","","",""
72,"CHỮA BỆNH MẤT NGỦ","CHÁO TRỨNG VỊT MUỐI, SÒ BIỂN","Thần kinh suy nhược.","Mỗi lần dùng 2 quả trứng vịt muối, 60-100gr thịt sò biển, gạo tẻ vừa đủ, nấu thành cháo.","Mát phổi, bổ tim, bổ âm, an thần. Ngoài ra bài thuốc này còn có tác dụng thanh nhiệt, hạ hỏa; chữa bệnh tràng nhạc.","","","","",""
74,"CHỮA BỆNH ĐIÊN (BỆNH CUỒNG)","TIỂU MẠCH NẤU VỚI CAM THẢO, TÁO TÀU","Bệnh điên (Bệnh điên là một loại bệnh thần kinh, thần kinh bị ức chế, kích động như tức giận, lo sợ, oan ức, buồn rầu mà sinh ra. Bệnh trạng chủ yếu: buồn rầu, kêu khóc, ngáp vặt, buồn phiền, ngủ không yên giấc. Khi hết cơn điên, mọi việc lại bình thường).","Dùng 60gr tiểu mạch, 14 quả táo, 20gr cam thảo. Trước hết đem tiểu mạch ngâm nước cho mềm, giã nát, táo rửa sạch, ngâm nước sôi, sau đó cho cam thảo, nước vừa đủ, đun sôi trong 1 tiếng. Bỏ bã cam thảo, ăn táo, uống nước. Mỗi thang ăn 2 lần.","Bổ tim, an thần. Ăn liên tục, không phải kiêng kỵ gì. Những người mắc chứng mất ngủ, tim đập mạnh có thể thêm: long cốt, sò biển, nhân táo. Những người lòng dạ bồn chồn, khó thở thì thêm bán hạ, hậu phác.","","","","",""
74,"CHỮA BỆNH ĐIÊN (BỆNH CUỒNG)","TRỨNG GÀ HẤP CHU SA, CỎ BẤC","Bệnh điên (bệnh trạng như trên).","Lòng đỏ trứng gà 2 quả, cỏ bấc đèn 9gr, chu sa 3gr (tán nhỏ). Trước hết cho cỏ bấc đèn vào 100ml nước, đun nhỏ lửa trong 30 phút, lọc lấy nước. Cho nước cỏ bấc vào lòng đỏ trứng gà, và chu sa vào quấy đều. Hấp cách thủy. Mỗi tối ăn 1 lần. Mỗi đợt điều trị 7 ngày.","Chữa trị bồn chồn, mất ngủ, tâm thần bất an có hiệu quả.","Chu sa có chứa lưu hóa thủy ngân. Uống nhiều, uống kéo dài dễ gây độc hại. Vì vậy không nên uống thường xuyên được mà phải theo (liều trình) 7 ngày.","","","",""
74,"CHỮA BỆNH ĐIÊN (BỆNH CUỒNG)","THANG CAM THẢO, TIỂU MẠCH, TÁO TÀU","Bệnh điên (bệnh trạng như trên).","Mỗi lần dùng 10 gr cam thảo, 30gr tiểu mạch, 5 quả táo. Cho vào 2 bát nước, sắc lấy 1 bát, bỏ bã, uống nước.","Bổ tim, an thần, tăng cường khí huyết, giảm buồn phiền.","","","","",""
75,"CHỮA CHỨNG ĐỘNG KINH","PHÈN TRẮNG TRỘN VỚI QUẢ TRÁM","Bệnh động kinh (bệnh trạng: nhiều đờm dãi, lên cơn liên tục, đột nhiên hôn mê, ngã lăn đùng, trợn 2 mắt, răng nghiến chặt, sùi bọt mép, tứ chi co giật, đái ỉa tùy tiện, cắn chặt răng lưỡi. Sau khi tỉnh lại đầu nhức, mệt mỏi, không nhớ gì khi phát bệnh, lưỡi đỏ, bựa lưỡi trắng, mạch huyền, hoạt).","Dùng 12 quả trám tươi, 1,5gr phèn trắng tán nhỏ. Trước hết rửa sạch quả trám, dùng lưỡi dao khía quả trám, lấy bột phèn xát vào quả trám, khi phèn ngấm vào quả trám là ăn được.","Thanh nhiệt, tiêu đờm. Chữa chứng động kinh.","","","","",""
75,"CHỮA CHỨNG ĐỘNG KINH","CAO QUẢ TRÁM, UẤT KIM HƯƠNG","Bệnh động kinh (bệnh trạng như trên).","Quả trám tươi 500gr (đập dập), uất kim 250gr. Cho vào 1000ml nước, sắc trong một tiếng, gạn nước ra. Cho vào 500ml sắc lấy nước thứ 2. Hai nước thuốc trộn lẫn, đun nhỏ lửa, cô lại lấy 500ml. Cho 100gr phèn trắng, mật ong, quấy đều, đem cô đặc thành cao. Hàng ngày, mỗi buổi sáng, chiều uống 10ml, uống với nước sôi.","","Đây là bài thuốc đặc hiệu, truyền thống. Tuy nhiên cần chú ý điều trị từng thời gian, cách quãng, không dùng liên tục để tránh hại dạ dày.","","","",""
75,"CHỮA CHỨNG ĐỘNG KINH","RỄ CÂY THẦU DẦU ĐỎ NẤU VỚI TRỨNG GÀ","Bệnh động kinh (bệnh trạng như trên).","Dùng 60gr rễ cây thầu dầu đỏ, 2 quả trứng gà. Trước hết đem rễ cây thầu dầu đỏ sắc lấy khoảng 200ml nước, bỏ bã. Đập 2 quả trứng gà, 10ml giấm vào, quấy đều, đun sôi. Mỗi ngày uống 1 lần, liên tục uống trong 10 ngày là 1 đợt điều trị.","Khỏi co giật, trừ phong, tiêu đờm, bổ âm, an thần, hết sợ hãi.","","","","",""
75,"CHỮA CHỨNG ĐỘNG KINH","GAN DÊ SẮC VỚI HOA CÚC TRẮNG...","Bệnh động kinh do tỳ, thận hư (bệnh trạng: bệnh kéo dài ngày, lên cơn liên tục, khí huyết thất thường, xanh xao, thần sắc ngây ngô, mệt mỏi, viêm lưỡi, bựa lưỡi trắng, mạch nhược, vi).","Gan dê 60gr, cốc tinh thảo và hoa cúc trắng mỗi thứ 10gr. Đun nhỏ lửa, chín nhừ để ăn. Mỗi ngày uống 1 lần.","Bình ổn gan, bổ máu, bổ trung. Chữa trị chứng động kinh do gan thận hư, âm hư, thiếu máu.","","","","",""
75,"CHỮA CHỨNG ĐỘNG KINH","ĐAN SÂM SẮC VỚI LONG NHÃN...","Bệnh động kinh do tỳ, thận đều hư (bệnh trạng như trên).","Đan sâm, long nhãn, nhân táo mỗi thứ 15gr. Sắc lấy nước uống, pha một ít mật ong. Mỗi ngày uống 2 lần.","Mát gan, bổ tỳ, bổ tim. Có tác dụng chữa trị bệnh động kinh do khí huyết hư. Có thể dùng làm thuốc bồi dưỡng thường xuyên cho người mắc chứng động kinh.","","","","",""
75,"CHỮA CHỨNG ĐỘNG KINH","DẠ DÀY LỢN, GIẤY TRÁNG KIM","Bệnh động kinh, nói lảm nhảm, khóc cười bất thường.","Dùng 1 chiếc dạ dày lợn, 10 tờ giấy tráng kim. Cho giấy tráng kim vào trong dạ dày lợn, cho vào 6 bát nước, sắc kỹ lấy 2 bát. Ăn dạ dày lợn, uống nước.","An thần, bớt điên dại.","","","","",""
75,"CHỮA CHỨNG ĐỘNG KINH","TIM LỢN HẤP VỚI CHU SA","Chứng ngây dại, nói lảm nhảm, mỉm cười tự nhiên, không đánh chửi người khác.","Tim lợn 1 cái, chu sa 10gr. Hấp cách thủy, ăn hết 1 lần.","Bổ tim, an thần.","","","","",""
75,"CHỮA CHỨNG ĐỘNG KINH","NẤU ÓC DÊ VỚI LONG NHÃN","Chứng động kinh, đột nhiên hôn mê ngã lăn ra, răng nghiến chặt, sùi bọt mép, kêu rống như chó, mèo.","1 bộ óc dê, 25gr long nhãn. Trước hết nhúng bộ óc dê vào nước sôi, nhặt bỏ hết cơ, mô bên mặt ngoài bộ óc, sau đó cho long nhãn vào nấu chín kỹ, ăn hết trong 1 lần.","Bổ não, an thần.","","","","",""
75,"CHỮA CHỨNG ĐỘNG KINH","CON NHỘNG NẤU VỚI ĐƯỜNG PHÈN","Bệnh động kinh.","Dùng 70 con nhộng tằm (loại nhộng tằm sống hoang dã ăn lá cây lịch là tốt nhất), đường phèn vừa đủ. Nấu chín kỹ. Chia làm 2 phần, ăn hết trong ngày, cho người bệnh ăn trước khi lên cơn, hiệu quả rất tốt.","","","","","",""
75,"CHỮA CHỨNG ĐỘNG KINH","CON TẰM NẤU VỚI NAM TINH...","Bệnh động kinh.","Con tằm sấy khô 10gr, nam tinh 7,8gr, khương hoạt 10gr, gừng tươi. Sắc lấy nước uống.","","","","","",""
76,"CHỮA BỆNH TÂM THẦN PHÂN LIỆT","NƯỚC ĐƯỜNG TRẮNG, GIUN ĐẤT","Bệnh tâm thần phân liệt.","Giun đất tươi rửa sạch, giã nát vắt lấy nước, hòa với đường trắng uống.","","","","","",""
76,"CHỮA BỆNH TÂM THẦN PHÂN LIỆT","BỘT SỪNG TRÂU","Bệnh tâm thần phân liệt.","Dùng 10 - 20gr sừng trâu, cho vào nước vừa đủ, sắc kỹ, lấy nước uống.","","","","","",""
77,"CHỮA BỆNH LÒI DOM","CANH HOA CÚC, MỘC NHĨ","Bệnh lòi dom do thấp nhiệt, khi đi ỉa đau hậu môn, hoặc sau khi ỉa có máu.","Hoa cúc 100gr, mộc nhĩ 5gr. Cho vào 3 bát nước, sắc lấy 1 bát, cho vào ít đường trắng.","Kiện tỳ, khỏi lòi dom.","","","","",""
77,"CHỮA BỆNH LÒI DOM","HỒ TIÊU HẤP RUỘT GIÀ LỢN","Người cao tuổi, khí hư, mỗi khi đi ỉa, dom lòi ra, rất lâu không co lại.","Dùng 70 hạt hồ tiêu, 1 khúc đại tràng lợn. Cho hồ tiêu vào trong đại tràng, thắt lại 2 đầu khúc đại tràng, hấp chín ăn.","Kiện vị, khỏi lòi dom.","","","","",""
77,"CHỮA BỆNH LÒI DOM","NƯỚC THỊT BÒ HẦM","Bệnh lòi dom vì ỉa chảy kéo dài.","Thịt bò vàng, hầm nhừ lấy nước uống. Điều trị liên tục 1 tuần.","Tăng cường khí huyết, khỏi lòi dom.","","","","",""
77,"CHỮA BỆNH LÒI DOM","NẤU ĐẠI TRÀNG LỢN VỚI THĂNG MA, VỪNG ĐEN","Bệnh lòi dom.","Mỗi lần có thể dùng 10gr thăng ma, 60gr vừng đen, một khúc đại tràng lợn khoảng 30cm. Cho thăng ma, vừng đen vào trong đại tràng, buộc chặt 2 đầu. Luộc chín kỹ. Bỏ thăng ma, vừng đen. Cho gia vị vào. Ăn đại tràng, uống nước. Người mắc bệnh táo bón, có thể liên tục ăn vừng đen.","Kiện tỳ, khỏi lòi dom.","Thăng ma không được dùng quá nhiều, để phòng gây phản ứng phụ: nôn, nhức đầu, hoa mắt. Bài thuốc này còn có tác dụng chữa chứng sa tử cung.","","","",""
77,"CHỮA BỆNH LÒI DOM","THỊT BÒ TRỘN NƯỚC GỪNG HẤP CƠM","Bệnh lòi dom.","Mỗi lần dùng 30gr hà thủ ô, 1 con gà mái. Hà thủ ô gói trong túi vải, cho vào trong bụng gà. Sau khi hấp chín nhừ, lấy hà thủ ô ra. Cho dầu ăn, muối, gừng, rượu trộn vào thịt gà. Chia làm 2 lần, ăn hết trong ngày.","Bổ máu, bổ thận, khỏi lòi dom.","","","","",""
